participant;condition;order;event;target_x;target_y;mean_x;mean_y;dist_x;dist_y;euclidean;sd_x;sd_y;rmss2s;lux
11;uniteye;0;8;1410;740;1461.2611345454543;683.8357107272727;70.47036218181819;75.05485387878788;113.82415698091296;72.34104168931124;74.50315897412162;899.9004520036061;517
11;uniteye;0;9;110;990;240.6387266909091;937.1250998181818;130.6387266909091;60.53214818181818;151.38871794243576;98.40302016920414;48.78168581976867;636.9644217332783;517
11;uniteye;0;10;960;940;1069.663726545455;858.3337898181817;134.59117963636368;82.11782787878788;166.61967468392808;116.29962933995364;47.82967574598626;1021.5836198351574;517
11;uniteye;0;11;1810;990;1770.9931665454544;921.9018976363636;52.16510933333335;68.13069981818181;93.806760937899;50.27618825268913;31.74165219843217;616.7930572022616;517
11;uniteye;1;1;110;90;245.56789643636364;19.60558189445455;135.5678964363636;98.15751228736364;169.5022647749088;90.80589944555996;80.04095324895334;398.13446600836846;512
11;uniteye;1;2;960;140;896.3325003636364;49.74715189636364;163.00168436363637;144.35873598242424;230.04165867435373;183.0234035861613;118.66702572601382;1699.922138525768;512
11;uniteye;1;3;1810;90;2169.7347898181824;102.01547454545454;371.3913503030303;36.23696901818182;380.3890403051181;141.5731031434709;68.94346192372514;1002.3717876641762;512
11;uniteye;1;4;510;340;485.863965090909;25.88679685636364;83.72050036363636;324.6247598709091;344.16484963386847;112.25267772398956;95.44942592066296;835.2523240251646;512
11;uniteye;1;5;1410;340;1612.9283898181818;116.47763950909092;207.9808523636364;223.5223604909091;319.0076742247258;102.23186298864208;65.45203836364416;1222.047376093243;512
11;uniteye;1;6;960;540;986.9115374545454;104.09581552909091;99.70870399999998;435.90418447090906;455.5360328303445;132.39167626545148;56.69999202856731;1435.1399750880928;512
11;uniteye;1;7;510;740;504.51925527272726;199.58296745454544;70.16126254545456;540.4170325454546;551.5774863802092;100.17353523352708;121.1234547958516;1202.1808599363892;512
11;uniteye;1;8;1410;740;1515.3267723636363;575.7570834545456;201.78037527272727;167.17255545454546;285.7007057664697;215.4351234943188;117.8330767917651;1620.5909031184926;512
11;uniteye;1;9;110;990;175.6073728;476.3553856363637;65.97150506666667;513.6446143636364;519.0581680943575;39.33493731205344;57.63684487905494;632.8034531870471;512
11;uniteye;1;10;960;940;1013.546493090909;559.5296989090908;82.86752290909091;380.4703010909091;396.7506962521946;98.12307882490656;52.802827228592925;1064.7807312200016;512
11;uniteye;1;11;1810;990;1971.5455330909087;1027.6727449090909;170.55749139393942;57.95245036363637;184.8454116301896;97.52779004088076;59.88459626472755;1045.2635081693818;512
12;tobii;0;1;110;90;67.53063568;172.3580685;42.46936432;82.35806849999999;93.43832909129247;7.544923387287552;13.935822939289883;69.64094037079431;483
12;tobii;0;2;960;140;946.2570152;233.168751;13.742984799999997;93.168751;94.45742671656328;6.3716761587372055;9.79949497025216;68.93239255966603;483
12;tobii;0;3;1810;90;1826.6892104;167.49153837;17.373165600000004;77.49153837;80.30385951419296;12.148243675298874;6.6641139454814695;67.75478569704198;483
12;tobii;0;4;510;340;477.4273664;419.96148885;32.5726336;79.96148885;86.57600778596448;6.35002482445773;7.271259397684945;73.15936703680347;483
12;tobii;0;5;1410;340;1419.5075168;407.80827225;9.889062400000006;67.80827225000002;68.77791269689486;7.290094429465101;10.590252659518026;74.4348566424971;483
12;tobii;0;6;960;540;959.8558928;608.3036577;6.339278399999998;68.3036577;68.78463883580591;8.35735627891611;9.055172029198676;119.87605458367447;483
12;tobii;0;7;510;740;465.0783152000001;820.9005741000001;44.9216848;80.9005741;92.97332609070234;7.810289831602575;8.584537392883352;122.34957547923317;483
12;tobii;0;8;1410;740;1434.5422480000004;830.7575149500001;24.54224799999999;90.75751495000002;94.15239645837222;4.9795847949759;5.256674124641953;68.23290680888988;483
12;tobii;0;9;110;990;132.95633584;1015.683606;119.80677413333336;100.76953410000002;160.81026520505358;209.45952633012448;133.74957903172614;274.43797306291884;483
12;tobii;0;10;960;940;962.9803304;1016.10674145;11.291173600000004;76.10674145;77.42679413704003;14.147205611157249;10.969944333847792;150.77286947748078;483
12;tobii;0;11;1810;990;1853.7284984;1109.28560355;43.72849840000001;119.28560355;127.16630625336452;5.948228599311283;4.354507944418181;68.04999179127861;483
12;tobii;1;1;110;90;106.57097088;98.319912435;4.812966933333333;8.608852245;11.102260022252135;5.257887305466012;7.378058198848702;41.33811082642545;474
12;tobii;1;2;960;140;952.2924816;135.1301562;8.796;5.944110266666667;11.984836524717954;7.554854635396281;6.129494137889126;44.745275106036914;474
12;tobii;1;3;1810;90;1808.4004656;105.08037129;7.702253333333338;15.08037129;17.852433856926456;8.940940719379237;14.401195012331874;81.91026482329109;474
